bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
20,De perfecte echtgenote,1.0,1.0075839653304441,7.271299453925352e-06
20,De poesje,1.0,1.0075839653304441,7.271299453925352e-06
20,"De porcs, vaques i altres besties",1.0,1.0075839653304441,7.271299453925352e-06
20,De terre et de sang,1.0,1.0075839653304441,7.271299453925352e-06
20,Dead Eye Duck,1.0,1.0075839653304441,7.271299453925352e-06
20,Deadly Dolphin,1.0,1.0075839653304441,7.271299453925352e-06
20,Dean Edwards and Justin Worsham,1.0,1.0075839653304441,7.271299453925352e-06
20,Death by Diamonds,1.0,1.0075839653304441,7.271299453925352e-06
20,Death: A Love Story,1.0,1.0075839653304441,7.271299453925352e-06
20,Delectable Damsels,1.0,1.0075839653304441,7.271299453925352e-06
20,Department Stores on Wheels,1.0,1.0075839653304441,7.271299453925352e-06
20,Der Abschied,1.0,1.0075839653304441,7.271299453925352e-06
20,Der Bär ist los,1.0,1.0075839653304441,7.271299453925352e-06
20,Der Kampf um den heiligen Baum,1.0,1.0075839653304441,7.271299453925352e-06
20,Der Schuß im Pavillon,1.0,1.0075839653304441,7.271299453925352e-06
20,"Der Tag, als die Beatles (beinahe) nach Marburg kamen",1.0,1.0075839653304441,7.271299453925352e-06
20,Der Verleger,1.0,1.0075839653304441,7.271299453925352e-06
20,Destino Andalucía,1.0,1.0075839653304441,7.271299453925352e-06
20,Dezurni gnev,1.0,1.0075839653304441,7.271299453925352e-06
20,Di Spalle,1.0,1.0075839653304441,7.271299453925352e-06
20,Die Bauernpassion,1.0,1.0075839653304441,7.271299453925352e-06
20,Die bösen Köche,1.0,1.0075839653304441,7.271299453925352e-06
20,Die Nagelfalle,1.0,1.0075839653304441,7.271299453925352e-06
20,Die Wikinger kommen,1.0,1.0075839653304441,7.271299453925352e-06
20,Dil Dariya,1.0,1.0075839653304441,7.271299453925352e-06
20,Directions to Servants,1.0,1.0075839653304441,7.271299453925352e-06
20,Disregarded People,1.0,1.0075839653304441,7.271299453925352e-06
20,Do as I Say,1.0,1.0075839653304441,7.271299453925352e-06
20,Doing the Business,1.0,1.0075839653304441,7.271299453925352e-06
20,Don't Tell Dad,1.0,1.0075839653304441,7.271299453925352e-06
20,Don Quixote,1.0,1.0075839653304441,7.271299453925352e-06
20,Down on the Farm,1.0,1.0075839653304441,7.271299453925352e-06
20,Drive,1.0,1.0075839653304441,7.271299453925352e-06
20,DumbShow,1.0,1.0075839653304441,7.271299453925352e-06
20,Duplex,1.0,1.0075839653304441,7.271299453925352e-06
