bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
1,#3.1: The Cavern,1.0,1.0,0.0
1,#spiritmastertoopenfortheflaminglips,1.0,1.0,0.0
2,(#1.1),8.0,8.0,0.0
3,(#1.101),1.0,1.0,0.0
3,(#1.103),1.0,1.0,0.0
3,(#1.11),1.0,1.0,0.0
3,(#1.11727),1.0,1.0,0.0
4,(#1.12),3.0,3.0,0.0
5,(#1.1201),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.13596),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.147),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.15379),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.16),2.0,1.1176470588235294,0.0008459759742823304
5,(#1.165),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.1826),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.186),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.193),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.241),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.246),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.26),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.27),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.28),2.0,1.1176470588235294,0.0008459759742823304
5,(#1.29),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.293),1.0,1.1176470588235294,0.00011279679657097741
5,(#1.318),1.0,1.1176470588235294,0.00011279679657097741
6,(#1.33),2.0,2.0,0.0
6,(#1.34),2.0,2.0,0.0
7,(#1.3447),1.0,1.0,0.0
7,(#1.355),1.0,1.0,0.0
7,(#1.36),1.0,1.0,0.0
7,(#1.3624),1.0,1.0,0.0
8,(#1.37),2.0,1.6666666666666667,0.0003195909236177692
8,(#1.371),1.0,1.6666666666666667,0.0006391818472355386
8,(#1.39),2.0,1.6666666666666667,0.0003195909236177692
9,(#1.4),7.0,7.0,0.0
10,(#1.4382),1.0,1.0,0.0
10,(#1.4448),1.0,1.0,0.0
10,(#1.4594),1.0,1.0,0.0
10,(#1.4638),1.0,1.0,0.0
11,(#1.5),3.0,3.0,0.0
12,(#1.504),1.0,1.0,0.0
12,(#1.52),1.0,1.0,0.0
13,(#1.59),3.0,3.0,0.0
14,(#1.6),4.0,4.0,0.0
15,(#1.7),1.0,1.0,0.0
15,(#1.7012),1.0,1.0,0.0
15,(#1.817),1.0,1.0,0.0
15,(#1.826),1.0,1.0,0.0
15,(#1.87),1.0,1.0,0.0
15,(#1.879),1.0,1.0,0.0
15,(#1.88),1.0,1.0,0.0
16,(#1.9),4.0,4.0,0.0
17,(#1.90),1.0,1.0,0.0
17,(#1.911),1.0,1.0,0.0
17,(#1.9318),1.0,1.0,0.0
17,(#10.49),1.0,1.0,0.0
17,(#15.4),1.0,1.0,0.0
17,(#15.49),1.0,1.0,0.0
17,(#16.189),1.0,1.0,0.0
17,(#16.54),1.0,1.0,0.0
17,(#16.8),1.0,1.0,0.0
17,(#16.9),1.0,1.0,0.0
17,(#18.16),1.0,1.0,0.0
17,(#2.1),1.0,1.0,0.0
17,(#2.10),1.0,1.0,0.0
17,(#2.13),1.0,1.0,0.0
17,(#2.17),1.0,1.0,0.0
17,(#2.19),1.0,1.0,0.0
18,(#2.2),2.0,1.375,0.0005992329817833174
18,(#2.21),1.0,1.375,0.0003595397890699904
18,(#2.22),2.0,1.375,0.0005992329817833174
18,(#2.23),1.0,1.375,0.0003595397890699904
18,(#2.237),1.0,1.375,0.0003595397890699904
18,(#2.3),2.0,1.375,0.0005992329817833174
18,(#2.34),1.0,1.375,0.0003595397890699904
18,(#2.41),1.0,1.375,0.0003595397890699904
19,(#2.5),3.0,3.0,0.0
20,(#2.7),1.0,1.0075839653304441,7.271299453925352e-06
20,(#2.9),1.0,1.0075839653304441,7.271299453925352e-06
20,(#2.92),1.0,1.0075839653304441,7.271299453925352e-06
20,(#21.24),1.0,1.0075839653304441,7.271299453925352e-06
20,(#25.25),1.0,1.0075839653304441,7.271299453925352e-06
20,(#26.169),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.12),2.0,1.0075839653304441,0.0009515014713993824
20,(#3.136),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.14),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.18),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.181),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.21),2.0,1.0075839653304441,0.0009515014713993824
20,(#3.25),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.37),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.49),1.0,1.0075839653304441,7.271299453925352e-06
20,(#3.5),2.0,1.0075839653304441,0.0009515014713993824
20,(#3.7),1.0,1.0075839653304441,7.271299453925352e-06
20,(#31.10),1.0,1.0075839653304441,7.271299453925352e-06
20,(#31.3),1.0,1.0075839653304441,7.271299453925352e-06
20,(#4.100),1.0,1.0075839653304441,7.271299453925352e-06
20,(#4.12),2.0,1.0075839653304441,0.0009515014713993824
20,(#4.5),1.0,1.0075839653304441,7.271299453925352e-06
20,(#4.7),1.0,1.0075839653304441,7.271299453925352e-06
20,(#4.8),1.0,1.0075839653304441,7.271299453925352e-06
20,(#5.146),1.0,1.0075839653304441,7.271299453925352e-06
20,(#5.20),1.0,1.0075839653304441,7.271299453925352e-06
20,(#5.34),1.0,1.0075839653304441,7.271299453925352e-06
20,(#6.13),1.0,1.0075839653304441,7.271299453925352e-06
20,(#6.145),1.0,1.0075839653304441,7.271299453925352e-06
20,(#6.39),1.0,1.0075839653304441,7.271299453925352e-06
20,(#6.6),2.0,1.0075839653304441,0.0009515014713993824
20,(#6.87),1.0,1.0075839653304441,7.271299453925352e-06
20,(#6.9),1.0,1.0075839653304441,7.271299453925352e-06
20,(#7.152),1.0,1.0075839653304441,7.271299453925352e-06
20,(#7.158),1.0,1.0075839653304441,7.271299453925352e-06
20,(#7.23),1.0,1.0075839653304441,7.271299453925352e-06
20,(#7.30),1.0,1.0075839653304441,7.271299453925352e-06
20,(#7.98),1.0,1.0075839653304441,7.271299453925352e-06
20,(#8.185),1.0,1.0075839653304441,7.271299453925352e-06
20,(#8.34),1.0,1.0075839653304441,7.271299453925352e-06
20,(#8.4),1.0,1.0075839653304441,7.271299453925352e-06
20,(#9.36),1.0,1.0075839653304441,7.271299453925352e-06
20,(#9.6),1.0,1.0075839653304441,7.271299453925352e-06
20,(1961-01-27),1.0,1.0075839653304441,7.271299453925352e-06
20,(1961-09-26),1.0,1.0075839653304441,7.271299453925352e-06
20,(1969-12-13),1.0,1.0075839653304441,7.271299453925352e-06
20,(1970-01-09),1.0,1.0075839653304441,7.271299453925352e-06
20,(1973-01-21),1.0,1.0075839653304441,7.271299453925352e-06
20,(1975-04-06),1.0,1.0075839653304441,7.271299453925352e-06
20,(1975-11-10),1.0,1.0075839653304441,7.271299453925352e-06
20,(1977-01-21),1.0,1.0075839653304441,7.271299453925352e-06
20,(1977-12-11),1.0,1.0075839653304441,7.271299453925352e-06
20,(1979-09-13),1.0,1.0075839653304441,7.271299453925352e-06
20,(1981-02-07),1.0,1.0075839653304441,7.271299453925352e-06
20,(1982-02-02),1.0,1.0075839653304441,7.271299453925352e-06
20,(1984-01-18),1.0,1.0075839653304441,7.271299453925352e-06
20,(1990-02-24),1.0,1.0075839653304441,7.271299453925352e-06
20,(1992-03-27),1.0,1.0075839653304441,7.271299453925352e-06
20,(1992-04-05),1.0,1.0075839653304441,7.271299453925352e-06
20,(1992-05-18),1.0,1.0075839653304441,7.271299453925352e-06
20,(1994-02-10),1.0,1.0075839653304441,7.271299453925352e-06
20,(1994-03-14),1.0,1.0075839653304441,7.271299453925352e-06
20,(1994-04-21),1.0,1.0075839653304441,7.271299453925352e-06
20,(1994-07-27),1.0,1.0075839653304441,7.271299453925352e-06
20,(1994-08-17),1.0,1.0075839653304441,7.271299453925352e-06
20,(1994-10-15),1.0,1.0075839653304441,7.271299453925352e-06
20,(1995-01-24),1.0,1.0075839653304441,7.271299453925352e-06
20,(1996-02-08),1.0,1.0075839653304441,7.271299453925352e-06
20,(1996-07-11),1.0,1.0075839653304441,7.271299453925352e-06
20,(1997-07-16),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-01-28),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-04-22),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-06-02),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-08-12),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-08-26),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-09-08),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-10-15),1.0,1.0075839653304441,7.271299453925352e-06
20,(1998-12-11),1.0,1.0075839653304441,7.271299453925352e-06
20,(1999-02-13),1.0,1.0075839653304441,7.271299453925352e-06
20,(1999-08-01),1.0,1.0075839653304441,7.271299453925352e-06
20,(1999-11-05),1.0,1.0075839653304441,7.271299453925352e-06
20,(2000-04-22),1.0,1.0075839653304441,7.271299453925352e-06
20,(2000-11-15),1.0,1.0075839653304441,7.271299453925352e-06
20,(2000-11-18),1.0,1.0075839653304441,7.271299453925352e-06
20,(2000-12-22),1.0,1.0075839653304441,7.271299453925352e-06
20,(2001-03-09),2.0,1.0075839653304441,0.0009515014713993824
20,(2001-05-24),1.0,1.0075839653304441,7.271299453925352e-06
20,(2001-10-19),1.0,1.0075839653304441,7.271299453925352e-06
20,(2001-10-26),1.0,1.0075839653304441,7.271299453925352e-06
20,(2001-11-09),1.0,1.0075839653304441,7.271299453925352e-06
20,(2001-11-12),1.0,1.0075839653304441,7.271299453925352e-06
20,(2001-11-27),1.0,1.0075839653304441,7.271299453925352e-06
20,(2001-12-13),1.0,1.0075839653304441,7.271299453925352e-06
20,(2002-07-09),1.0,1.0075839653304441,7.271299453925352e-06
20,(2002-07-26),1.0,1.0075839653304441,7.271299453925352e-06
20,(2003-01-28),1.0,1.0075839653304441,7.271299453925352e-06
20,(2003-05-11),1.0,1.0075839653304441,7.271299453925352e-06
20,(2003-08-13),1.0,1.0075839653304441,7.271299453925352e-06
20,(2003-08-28),1.0,1.0075839653304441,7.271299453925352e-06
20,(2003-11-16),1.0,1.0075839653304441,7.271299453925352e-06
20,(2003-11-24),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-03-01),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-03-28),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-03-31),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-05-23),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-09-24),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-09-27),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-11-04),1.0,1.0075839653304441,7.271299453925352e-06
20,(2004-11-25),1.0,1.0075839653304441,7.271299453925352e-06
20,(2005-02-08),1.0,1.0075839653304441,7.271299453925352e-06
20,(2005-03-25),1.0,1.0075839653304441,7.271299453925352e-06
20,(2005-04-05),1.0,1.0075839653304441,7.271299453925352e-06
20,(2005-04-09),1.0,1.0075839653304441,7.271299453925352e-06
20,(2005-09-11),1.0,1.0075839653304441,7.271299453925352e-06
20,(2005-10-13),1.0,1.0075839653304441,7.271299453925352e-06
20,(2005-11-03),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-01-30),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-02-16),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-05-31),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-06-26),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-06-29),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-07-17),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-08-08),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-09-30),1.0,1.0075839653304441,7.271299453925352e-06
20,(2006-11-10),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-01-24),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-02-19),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-03-30),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-04-23),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-04-27),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-04-30),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-07-17),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-10-20),1.0,1.0075839653304441,7.271299453925352e-06
20,(2007-12-17),1.0,1.0075839653304441,7.271299453925352e-06
20,(2008-04-16),1.0,1.0075839653304441,7.271299453925352e-06
20,(2008-05-12),1.0,1.0075839653304441,7.271299453925352e-06
20,(2008-08-01),1.0,1.0075839653304441,7.271299453925352e-06
20,(2009-05-08),1.0,1.0075839653304441,7.271299453925352e-06
20,(2009-07-05),1.0,1.0075839653304441,7.271299453925352e-06
20,(2010-02-25),1.0,1.0075839653304441,7.271299453925352e-06
20,(2010-08-28),1.0,1.0075839653304441,7.271299453925352e-06
20,(2010-10-19),1.0,1.0075839653304441,7.271299453925352e-06
20,(2010-12-15),1.0,1.0075839653304441,7.271299453925352e-06
20,(2011-04-11),1.0,1.0075839653304441,7.271299453925352e-06
20,(2011-06-14),1.0,1.0075839653304441,7.271299453925352e-06
20,(2011-12-01),1.0,1.0075839653304441,7.271299453925352e-06
20,(2011-12-09),1.0,1.0075839653304441,7.271299453925352e-06
20,(2012-02-02),2.0,1.0075839653304441,0.0009515014713993824
20,(2012-02-12),1.0,1.0075839653304441,7.271299453925352e-06
20,(2012-03-10),1.0,1.0075839653304441,7.271299453925352e-06
20,(2012-05-10),1.0,1.0075839653304441,7.271299453925352e-06
20,(2012-10-08),1.0,1.0075839653304441,7.271299453925352e-06
20,(2012-10-18),1.0,1.0075839653304441,7.271299453925352e-06
20,(2012-11-10),1.0,1.0075839653304441,7.271299453925352e-06
20,(2012-11-29),1.0,1.0075839653304441,7.271299453925352e-06
20,(2013-04-19),1.0,1.0075839653304441,7.271299453925352e-06
20,(2013-05-07),1.0,1.0075839653304441,7.271299453925352e-06
20,...Reel Three,1.0,1.0075839653304441,7.271299453925352e-06
20,"¡Hola, Rusia!",1.0,1.0075839653304441,7.271299453925352e-06
20,1 minuto,1.0,1.0075839653304441,7.271299453925352e-06
20,1. osa,1.0,1.0075839653304441,7.271299453925352e-06
20,127 millones libres de impuestos,1.0,1.0075839653304441,7.271299453925352e-06
20,17 Seconds,1.0,1.0075839653304441,7.271299453925352e-06
20,1948 Thanksgiving Day Special,1.0,1.0075839653304441,7.271299453925352e-06
20,2 segundos de oscuridad,1.0,1.0075839653304441,7.271299453925352e-06
20,32.Episode,1.0,1.0075839653304441,7.271299453925352e-06
20,38:50,1.0,1.0075839653304441,7.271299453925352e-06
20,40 días,1.0,1.0075839653304441,7.271299453925352e-06
20,44º edición de los premios Ondas,1.0,1.0075839653304441,7.271299453925352e-06
20,5. vecer,1.0,1.0075839653304441,7.271299453925352e-06
20,67B,1.0,1.0075839653304441,7.271299453925352e-06
20,A Amiga,1.0,1.0075839653304441,7.271299453925352e-06
20,A Case of Blackmail: Part 1,1.0,1.0075839653304441,7.271299453925352e-06
20,A Christmas Celebration: Live from Dublin,1.0,1.0075839653304441,7.271299453925352e-06
20,A Country Dance,1.0,1.0075839653304441,7.271299453925352e-06
20,A Cure for Writer's Block,1.0,1.0075839653304441,7.271299453925352e-06
20,A Friend to Children,1.0,1.0075839653304441,7.271299453925352e-06
20,A Lion Special,1.0,1.0075839653304441,7.271299453925352e-06
20,A Live Woman of Proven Fertility,1.0,1.0075839653304441,7.271299453925352e-06
20,A Load of Old Rubbish,1.0,1.0075839653304441,7.271299453925352e-06
20,A New Hope,1.0,1.0075839653304441,7.271299453925352e-06
20,A Piece of Cake,1.0,1.0075839653304441,7.271299453925352e-06
20,A Pleasant Way of Getting Thin,1.0,1.0075839653304441,7.271299453925352e-06
20,A Quiet Man,1.0,1.0075839653304441,7.271299453925352e-06
20,A Race for a Father,1.0,1.0075839653304441,7.271299453925352e-06
20,A Rider of the Sierras,1.0,1.0075839653304441,7.271299453925352e-06
20,A Roman Emperor,1.0,1.0075839653304441,7.271299453925352e-06
20,A Time for Everything,1.0,1.0075839653304441,7.271299453925352e-06
20,A Visit to the Zoo,1.0,1.0075839653304441,7.271299453925352e-06
20,Äänivallia kohti,1.0,1.0075839653304441,7.271299453925352e-06
20,Accidents Will Happen,1.0,1.0075839653304441,7.271299453925352e-06
20,Adhura Sapna,1.0,1.0075839653304441,7.271299453925352e-06
20,Ai no rukeichi,1.0,1.0075839653304441,7.271299453925352e-06
20,Air Buster: Trouble Specialty Raid Unit,1.0,1.0075839653304441,7.271299453925352e-06
20,Air Conditioning the Apartment,1.0,1.0075839653304441,7.271299453925352e-06
20,Al Awbash,1.0,1.0075839653304441,7.271299453925352e-06
20,Aladdin Jr.,1.0,1.0075839653304441,7.271299453925352e-06
20,Alarm Clock,1.0,1.0075839653304441,7.271299453925352e-06
20,Alex Zane's House of Games,1.0,1.0075839653304441,7.271299453925352e-06
20,Alice et moi,1.0,1.0075839653304441,7.271299453925352e-06
20,Allegiance,1.0,1.0075839653304441,7.271299453925352e-06
20,Allt flyter,1.0,1.0075839653304441,7.271299453925352e-06
20,Am Draht,1.0,1.0075839653304441,7.271299453925352e-06
20,Am Ende des Schweigens,1.0,1.0075839653304441,7.271299453925352e-06
20,Am Stammtisch - Ein Heimatfilm,1.0,1.0075839653304441,7.271299453925352e-06
20,Am Südhang,1.0,1.0075839653304441,7.271299453925352e-06
20,Amalia Rodrigues,1.0,1.0075839653304441,7.271299453925352e-06
20,Amar no es querer,1.0,1.0075839653304441,7.271299453925352e-06
20,"American Falls from Goat Island, Niagara Falls, N.Y.",1.0,1.0075839653304441,7.271299453925352e-06
20,Amigos por convenencia,1.0,1.0075839653304441,7.271299453925352e-06
20,Amigos y algo más,1.0,1.0075839653304441,7.271299453925352e-06
20,Amnesty! When They Are All Free,1.0,1.0075839653304441,7.271299453925352e-06
20,Angriffe,1.0,1.0075839653304441,7.271299453925352e-06
20,"Antek Klawisz, bohater Powisla",1.0,1.0075839653304441,7.271299453925352e-06
20,Anti-Smoking PSA,1.0,1.0075839653304441,7.271299453925352e-06
20,Apnea,1.0,1.0075839653304441,7.271299453925352e-06
20,Aral. El mar perdido,1.0,1.0075839653304441,7.271299453925352e-06
20,Arctic Project,1.0,1.0075839653304441,7.271299453925352e-06
20,Arike: So Close,1.0,1.0075839653304441,7.271299453925352e-06
20,Arnold Palmer,1.0,1.0075839653304441,7.271299453925352e-06
20,Arrival of the Duke and Duchess of Cornwall at Sydney,1.0,1.0075839653304441,7.271299453925352e-06
20,Arundhati,1.0,1.0075839653304441,7.271299453925352e-06
20,As Moradas,1.0,1.0075839653304441,7.271299453925352e-06
20,"Asa, A Beautiful Girl",1.0,1.0075839653304441,7.271299453925352e-06
20,Asiye und ihre Töchter,1.0,1.0075839653304441,7.271299453925352e-06
20,Ask Out the Girl of Your Dreams,1.0,1.0075839653304441,7.271299453925352e-06
20,At the Still Point,1.0,1.0075839653304441,7.271299453925352e-06
20,Atlantic Ferry,1.0,1.0075839653304441,7.271299453925352e-06
20,Auge,1.0,1.0075839653304441,7.271299453925352e-06
20,August 2011,1.0,1.0075839653304441,7.271299453925352e-06
20,Aurora Leigh,1.0,1.0075839653304441,7.271299453925352e-06
20,Australien ist weit,1.0,1.0075839653304441,7.271299453925352e-06
20,Barefoot Confidential 2,1.0,1.0075839653304441,7.271299453925352e-06
20,Barnyard Actor,1.0,1.0075839653304441,7.271299453925352e-06
20,Baruffa,1.0,1.0075839653304441,7.271299453925352e-06
20,Basta't kasama kita,1.0,1.0075839653304441,7.271299453925352e-06
20,BaTrend,1.0,1.0075839653304441,7.271299453925352e-06
20,Be My Bitch 5,1.0,1.0075839653304441,7.271299453925352e-06
20,Beans Under the Weather,1.0,1.0075839653304441,7.271299453925352e-06
20,Bedstemor går amok,1.0,1.0075839653304441,7.271299453925352e-06
20,Belt Round the Sun,1.0,1.0075839653304441,7.271299453925352e-06
20,Berenice,1.0,1.0075839653304441,7.271299453925352e-06
20,Bernadette Lafont,1.0,1.0075839653304441,7.271299453925352e-06
20,Best of Luck,1.0,1.0075839653304441,7.271299453925352e-06
20,Beyond Suspicion,1.0,1.0075839653304441,7.271299453925352e-06
20,Big Hearted Jim,1.0,1.0075839653304441,7.271299453925352e-06
20,Big Score,1.0,1.0075839653304441,7.271299453925352e-06
20,Bill Murray Bike 2,1.0,1.0075839653304441,7.271299453925352e-06
20,"Bill, Ben and Fergus",1.0,1.0075839653304441,7.271299453925352e-06
20,Bionic Commando,1.0,1.0075839653304441,7.271299453925352e-06
20,BioShock Infinite,1.0,1.0075839653304441,7.271299453925352e-06
20,Bitteres Erwachen,1.0,1.0075839653304441,7.271299453925352e-06
20,Black Heart,1.0,1.0075839653304441,7.271299453925352e-06
20,Black Spank Master,1.0,1.0075839653304441,7.271299453925352e-06
20,Black Swan: Why It Gotta Be Black?,1.0,1.0075839653304441,7.271299453925352e-06
20,Blast from the Past,1.0,1.0075839653304441,7.271299453925352e-06
20,Bobby GreyScale,1.0,1.0075839653304441,7.271299453925352e-06
20,"Bobby, the Coward",1.0,1.0075839653304441,7.271299453925352e-06
20,Body Count,1.0,1.0075839653304441,7.271299453925352e-06
20,Boner Donor,1.0,1.0075839653304441,7.271299453925352e-06
20,Bonnie Raitt and Special Guests,1.0,1.0075839653304441,7.271299453925352e-06
20,Botswana,1.0,1.0075839653304441,7.271299453925352e-06
20,Bracero vs Corley,1.0,1.0075839653304441,7.271299453925352e-06
20,Brandstifter in Visby,1.0,1.0075839653304441,7.271299453925352e-06
20,Breath of Life,1.0,1.0075839653304441,7.271299453925352e-06
20,Bribery and Corruption: Part Two,1.0,1.0075839653304441,7.271299453925352e-06
20,Buddy Building,1.0,1.0075839653304441,7.271299453925352e-06
20,Buddy: The Movie,1.0,1.0075839653304441,7.271299453925352e-06
20,Buffalo Bill,1.0,1.0075839653304441,7.271299453925352e-06
20,Bulbasaur and the Hidden Village,1.0,1.0075839653304441,7.271299453925352e-06
20,Bureaucracy,1.0,1.0075839653304441,7.271299453925352e-06
20,Bushido,1.0,1.0075839653304441,7.271299453925352e-06
20,Cacho Dano Astronaut,1.0,1.0075839653304441,7.271299453925352e-06
20,Cage Match,1.0,1.0075839653304441,7.271299453925352e-06
20,"Cantando por una fruta: Pera, Naranja",1.0,1.0075839653304441,7.271299453925352e-06
20,Care Is No Cure,1.0,1.0075839653304441,7.271299453925352e-06
20,Carioca,1.0,1.0075839653304441,7.271299453925352e-06
20,Caro maestro,1.0,1.0075839653304441,7.271299453925352e-06
20,"Carot, berberot i tapandzijata",1.0,1.0075839653304441,7.271299453925352e-06
20,Cartola - Música Para os Olhos,1.0,1.0075839653304441,7.271299453925352e-06
20,Celebrity Guest Sabrina Parisi Sabrina Parisi,1.0,1.0075839653304441,7.271299453925352e-06
20,Charlie,1.0,1.0075839653304441,7.271299453925352e-06
20,Cherry Blossom,1.0,1.0075839653304441,7.271299453925352e-06
20,Children of the Sea,1.0,1.0075839653304441,7.271299453925352e-06
20,Chorus Angelorum,1.0,1.0075839653304441,7.271299453925352e-06
20,Chou lian huan,1.0,1.0075839653304441,7.271299453925352e-06
20,Chris Webber,1.0,1.0075839653304441,7.271299453925352e-06
20,Christmas 2011 Special 3,1.0,1.0075839653304441,7.271299453925352e-06
20,Christmas Rush,1.0,1.0075839653304441,7.271299453925352e-06
20,City of Bachelors,1.0,1.0075839653304441,7.271299453925352e-06
20,Clean Sweep,1.0,1.0075839653304441,7.271299453925352e-06
20,Cliff la Dolce,1.0,1.0075839653304441,7.271299453925352e-06
20,Clube Paraíso,1.0,1.0075839653304441,7.271299453925352e-06
20,Coeur léger,1.0,1.0075839653304441,7.271299453925352e-06
20,Color,1.0,1.0075839653304441,7.271299453925352e-06
20,Come Hansel e Gretel,1.0,1.0075839653304441,7.271299453925352e-06
20,Comicitis,1.0,1.0075839653304441,7.271299453925352e-06
20,Compañeros,1.0,1.0075839653304441,7.271299453925352e-06
20,Connection,1.0,1.0075839653304441,7.271299453925352e-06
20,Contagion,1.0,1.0075839653304441,7.271299453925352e-06
20,Corrine Bailey Rae,1.0,1.0075839653304441,7.271299453925352e-06
20,"Covet, Normal",1.0,1.0075839653304441,7.271299453925352e-06
20,Cutting the Cord,1.0,1.0075839653304441,7.271299453925352e-06
20,Cyber jeonsa,1.0,1.0075839653304441,7.271299453925352e-06
20,Dad and Dave Come to Town,1.0,1.0075839653304441,7.271299453925352e-06
20,Daddy's Hands,1.0,1.0075839653304441,7.271299453925352e-06
20,Danny,1.0,1.0075839653304441,7.271299453925352e-06
20,Danses russes: Danse de caractère,1.0,1.0075839653304441,7.271299453925352e-06
20,Daredevil #306,1.0,1.0075839653304441,7.271299453925352e-06
20,Das Chamäleon - Die vielen Gesichter des Hochstaplers Gaston Oulmàn,1.0,1.0075839653304441,7.271299453925352e-06
20,Das Fleisch ist Schwach,1.0,1.0075839653304441,7.271299453925352e-06
20,Das geheime Kino,1.0,1.0075839653304441,7.271299453925352e-06
20,De bankroof,1.0,1.0075839653304441,7.271299453925352e-06
