bucket,query_value,actual_frequency,estimated_frequency,selectivity_error
1,'Debbie's Got Reefer',1.0,1.0,0.0
1,'The Black Swan',1.0,1.0,0.0
1,'Til Death Do Us Part,1.0,1.0,0.0
2,(#1.1),36.0,36.0,0.0
3,(#1.10),11.0,11.0,0.0
4,(#1.100),3.0,1.290909090909091,0.0003166155815285122
4,(#1.10028),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.10376),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.104),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.10412),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.10452),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.105),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.10538),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.1055),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.10592),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.107),2.0,1.290909090909091,0.0001313617838256593
4,(#1.108),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.10828),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.10857),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.109),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.11030),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.11244),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.115),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.119),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.11949),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.12),5.0,1.290909090909091,0.000687123176934218
4,(#1.120),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.121),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.1211),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.1212),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.12185),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.12189),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.1243),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.125),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.1250),1.0,1.290909090909091,5.389201387719359e-05
4,(#1.12584),1.0,1.290909090909091,5.389201387719359e-05
